"","date","cause","Side","Cause","Status","Sex","SCL","Age","Tumor","year"
"1",1983-10-01,"human","E","Human take","D","F",NA,NA,"U",1983
"2",1984-05-01,"unknown","E","Unknown","D","U",NA,NA,"N",1984
"3",1984-02-01,"human","E","Net","A","U",41.3,"j","N",1984
"4",1984-01-01,"human","E","Hook/line","A","U",40.504,"j","N",1984
"5",1984-07-01,"human","E","Human take","D","U",NA,NA,"U",1984
"6",1984-03-01,"human","E","Hook/line","A","U",38.1,"j","N",1984
"7",1984-11-01,"human","E","Human take","D","U",NA,NA,"N",1984
"8",1985-08-01,"natural","E","FP","D","U",NA,NA,"Y",1985
"9",1985-08-01,"natural","E","Misc.","A","U",NA,NA,"N",1985
"10",1985-07-01,"human","E","Human take","D","U",NA,NA,"U",1985
"11",1985-07-01,"human","E","Human take","D","U",NA,NA,"U",1985
"12",1985-07-01,"human","E","Human take","D","U",NA,NA,"U",1985
"13",1985-11-01,"natural","E","FP","A","U",45.069,"j","Y",1985
"14",1986-05-01,"unknown","E","Unknown","A","U",35.939,"j","N",1986
"15",1986-05-01,"unknown","E","Unknown","A","U",35.939,"j","N",1986
"16",1986-01-01,"human","E","Net","D","F",97.5,"a","U",1986
"17",1986-07-01,"human","E","Human take","A","U",NA,NA,"U",1986
"18",1987-10-01,"unknown","E","Unknown","D","F",NA,NA,"U",1987
"19",1988-09-01,"unknown","E","Unknown","D","M",NA,NA,"N",1988
"20",1989-04-01,"unknown","E","Unknown","D","U",NA,NA,"N",1989
"21",1989-08-01,"human","E","Human take","A","U",NA,NA,"U",1989
"22",1989-01-01,"natural","E","FP","A","U",NA,NA,"Y",1989
"23",1989-01-01,"unknown","E","Unknown","A","U",NA,NA,"Y",1989
"24",1989-10-01,"unknown","E","Unknown","D","U",NA,NA,"N",1989
"25",1989-09-01,"human","E","Human take","D","F",75.198,"s","N",1989
"26",1989-09-01,"unknown","E","Unknown","D","F",77.7544,"s","Y",1989
"27",1990-04-01,"human","E","Hook/line","A","U",42.7865,"j","N",1990
"28",1990-07-01,"unknown","E","Unknown","A","U",NA,NA,"Y",1990
"29",1990-07-01,"unknown","E","Unknown","A","U",19.8,"j","N",1990
"30",1990-07-01,"unknown","E","Unknown","A","U",NA,NA,"Y",1990
"31",1990-06-01,"unknown","E","Unknown","A","U",49.634,"j","N",1990
"32",1990-06-01,"unknown","E","Unknown","A","U",49.634,"j","N",1990
"33",1991-04-01,"unknown","E","Unknown","D","M",39.7,"j","N",1991
"34",1991-04-01,"unknown","E","Unknown","D","F",37.9,"j","N",1991
